APY,APY_BASE,APY_REWARD,TVL,DATE
0.19,,,3108603334,2022-02-11T00:00:00.000Z
0.19,,,3100804700,2022-02-12T00:00:00.000Z
0.19,,,3140279175,2022-02-13T00:00:00.000Z
0.19,,,3046408911,2022-02-14T00:00:00.000Z
0.19,,,3167496209,2022-02-15T00:00:00.000Z
0.2,,,3238425315,2022-02-16T00:00:00.000Z
0.19,,,3163408573,2022-02-17T00:00:00.000Z
0.19,,,2919198362,2022-02-18T00:00:00.000Z
0.19,,,2834919406,2022-02-19T00:00:00.000Z
0.19,,,2770720127,2022-02-20T00:00:00.000Z
0.19,,,2779283503,2022-02-21T00:00:00.000Z
0.14,,,2614473320,2022-02-22T00:00:00.000Z
0.16,,,2698211889,2022-02-23T00:00:00.000Z
0.19,,,2655419256,2022-02-24T00:00:00.000Z
0.16,,,3126574227,2022-02-25T00:00:00.000Z
0.14,,,3155365393,2022-02-26T00:00:00.000Z
0.14,,,3128753921,2022-02-27T00:00:00.000Z
0.14,,,3187052087,2022-02-28T00:00:00.000Z
0.15,,,3388438058,2022-03-01T00:00:00.000Z
0.14,,,3476634461,2022-03-02T00:00:00.000Z
0.14,,,3385841892,2022-03-03T00:00:00.000Z
0.14,,,3219807974,2022-03-04T00:00:00.000Z
0.14,,,3113555441,2022-03-05T00:00:00.000Z
0.14,,,3095336589,2022-03-06T00:00:00.000Z
0.14,,,3033973682,2022-03-07T00:00:00.000Z
0.14,,,3062289901,2022-03-08T00:00:00.000Z
0.14,,,3276558537,2022-03-09T00:00:00.000Z
0.13,,,3089558314,2022-03-10T00:00:00.000Z
0.13,,,3094466898,2022-03-11T00:00:00.000Z
0.14,,,3074472460,2022-03-12T00:00:00.000Z
0.13,,,3046535926,2022-03-13T00:00:00.000Z
0.13,,,3078922360,2022-03-14T00:00:00.000Z
0.13,,,3015235622,2022-03-15T00:00:00.000Z
0.13,,,3195010196,2022-03-16T00:00:00.000Z
0.14,,,3308976536,2022-03-17T00:00:00.000Z
0.14,,,3344050628,2022-03-18T00:00:00.000Z
0.15,,,3329356238,2022-03-19T00:00:00.000Z
0.16,,,3213734243,2022-03-20T00:00:00.000Z
0.15,,,3248600250,2022-03-21T00:00:00.000Z
0.15,,,3376531825,2022-03-22T00:00:00.000Z
0.16,,,3178484835,2022-03-23T00:00:00.000Z
0.16,,,3284175989,2022-03-24T00:00:00.000Z
0.16,,,3368590674,2022-03-25T00:00:00.000Z
0.15,,,3371805498,2022-03-26T00:00:00.000Z
0.15798,,,3548835090,2022-03-27T00:00:00.000Z
0.15646,,,3667024912,2022-03-28T00:00:00.000Z
0.1159,,,3692475891,2022-03-29T00:00:00.000Z
0.09864,,,3626461606,2022-03-30T00:00:00.000Z
0.10073,,,3419396366,2022-03-31T00:00:00.000Z
0.10066,,,3578491430,2022-04-01T00:00:00.000Z
0.09922,,,3605491075,2022-04-02T00:00:00.000Z
0.10419,,,3700934412,2022-04-03T00:00:00.000Z
0.10051,,,3677688888,2022-04-04T00:00:00.000Z
0.10007,,,3594713158,2022-04-05T00:00:00.000Z
0.09655,,,3359288125,2022-04-06T00:00:00.000Z
0.09767,,,3407517792,2022-04-07T00:00:00.000Z
0.09727,,,3374802647,2022-04-08T00:00:00.000Z
0.09747,,,3405247728,2022-04-09T00:00:00.000Z
0.09723,,,3388599877,2022-04-10T00:00:00.000Z
0.09475,,,3145804839,2022-04-11T00:00:00.000Z
0.09862,,,3131342668,2022-04-12T00:00:00.000Z
0.10523,,,3247362747,2022-04-13T00:00:00.000Z
0.1049,,,3162394231,2022-04-14T00:00:00.000Z
0.10625,,,3184861240,2022-04-15T00:00:00.000Z
0.10562,,,3210735535,2022-04-16T00:00:00.000Z
0.10746,,,3198867232,2022-04-17T00:00:00.000Z
0.10723,,,3113378318,2022-04-18T00:00:00.000Z
0.10763,,,3155718182,2022-04-19T00:00:00.000Z
0.10965,,,3141524799,2022-04-20T00:00:00.000Z
0.11074,,,2902577246,2022-04-21T00:00:00.000Z
0.11049,,,2879899034,2022-04-22T00:00:00.000Z
0.1098,,,2878733564,2022-04-23T00:00:00.000Z
0.10952,,,2849998235,2022-04-24T00:00:00.000Z
0.10598,,,2941620773,2022-04-25T00:00:00.000Z
0.10445,,,2778581989,2022-04-26T00:00:00.000Z
0.10563,,,2790681059,2022-04-27T00:00:00.000Z
0.10425,,,2836580097,2022-04-28T00:00:00.000Z
0.10202,,,2739963911,2022-04-29T00:00:00.000Z
0.10124,,,2702399127,2022-04-30T00:00:00.000Z
0.10143,,,2708926899,2022-05-01T00:00:00.000Z
0.10042,,,2745899140,2022-05-02T00:00:00.000Z
0.09996,,,2668512138,2022-05-03T00:00:00.000Z
0.10263,,,2786910043,2022-05-04T00:00:00.000Z
0.09294,,,2409118947,2022-05-05T00:00:00.000Z
0.09845,,,2210465177,2022-05-06T00:00:00.000Z
0.09479,,,2151783538,2022-05-07T00:00:00.000Z
0.12285,,,2124080514,2022-05-08T00:00:00.000Z
0.10326,,,1927034258,2022-05-09T00:00:00.000Z
0.10364,,,1934793410,2022-05-10T00:00:00.000Z
0.29252,,,1676745355,2022-05-11T00:00:00.000Z
0.25771,,,1568970440,2022-05-12T00:00:00.000Z
0.2987,,,1687539429,2022-05-13T00:00:00.000Z
0.28108,,,1664751331,2022-05-14T00:00:00.000Z
0.28262,,,1735691678,2022-05-15T00:00:00.000Z
0.23094,,,1641762100,2022-05-16T00:00:00.000Z
0.23348,,,1676427344,2022-05-17T00:00:00.000Z
0.23116,,,1578772646,2022-05-18T00:00:00.000Z
0.22937,,,1625814038,2022-05-19T00:00:00.000Z
0.23149,,,1587223132,2022-05-20T00:00:00.000Z
0.08746,,,1596847604,2022-05-21T00:00:00.000Z
0.08809,,,1646856793,2022-05-22T00:00:00.000Z
0.09097,,,1598181072,2022-05-23T00:00:00.000Z
0.09073,,,1600630840,2022-05-24T00:00:00.000Z
0.08973,,,1570718898,2022-05-25T00:00:00.000Z
0.09374,,,1389218458,2022-05-26T00:00:00.000Z
0.09288,,,1348580472,2022-05-27T00:00:00.000Z
0.09052,,,1376805380,2022-05-28T00:00:00.000Z
0.09031,,,1397946772,2022-05-29T00:00:00.000Z
0.10998,,,1543206689,2022-05-30T00:00:00.000Z
0.11366,,,1475158953,2022-05-31T00:00:00.000Z
0.11389,,,1362771392,2022-06-01T00:00:00.000Z
0.11316,,,1378326745,2022-06-02T00:00:00.000Z
0.11159,,,1354263399,2022-06-03T00:00:00.000Z
0.11216,,,1370480879,2022-06-04T00:00:00.000Z
0.11315,,,1378069687,2022-06-05T00:00:00.000Z
0.11274,,,1402782351,2022-06-06T00:00:00.000Z
0.11022,,,1376452296,2022-06-07T00:00:00.000Z
0.10741,,,1377125927,2022-06-08T00:00:00.000Z
0.10777,,,1364217937,2022-06-09T00:00:00.000Z
0.10322,,,1331999433,2022-06-10T00:00:00.000Z
0.10142,,,1233109064,2022-06-11T00:00:00.000Z
0.11229,,,1049821445,2022-06-12T00:00:00.000Z
0.09205,,,842269434,2022-06-13T00:00:00.000Z
0.08376,,,813641573,2022-06-14T00:00:00.000Z
0.08977,,,794273443,2022-06-15T00:00:00.000Z
0.09453,,,709299899,2022-06-16T00:00:00.000Z
0.09736,,,710967938,2022-06-17T00:00:00.000Z
0.09543,,,644220707,2022-06-18T00:00:00.000Z
0.09322,,,754382378,2022-06-19T00:00:00.000Z
0.10743,,,734391281,2022-06-20T00:00:00.000Z
0.11431,,,762588758,2022-06-21T00:00:00.000Z
0.11934,,,716235217,2022-06-22T00:00:00.000Z
0.12353,,,766187163,2022-06-23T00:00:00.000Z
0.12343,,,826851920,2022-06-24T00:00:00.000Z
0.13358,,,829329363,2022-06-25T00:00:00.000Z
0.13371,,,800126356,2022-06-26T00:00:00.000Z
0.14014,,,795150947,2022-06-27T00:00:00.000Z
0.14063,,,762997635,2022-06-28T00:00:00.000Z
0.15013,,,739338369,2022-06-29T00:00:00.000Z
0.17887,,,668696112,2022-06-30T00:00:00.000Z
0.17873,,,692736428,2022-07-01T00:00:00.000Z
0.17824,,,693143261,2022-07-02T00:00:00.000Z
0.18189,,,698587273,2022-07-03T00:00:00.000Z
0.18784,,,698601910,2022-07-04T00:00:00.000Z
0.193,,,652159660,2022-07-05T00:00:00.000Z
0.19738,,,654387840,2022-07-06T00:00:00.000Z
0.17178,,,665170536,2022-07-07T00:00:00.000Z
0.16112,,,666177742,2022-07-08T00:00:00.000Z
0.18715,,,658789814,2022-07-09T00:00:00.000Z
0.19019,,,634159457,2022-07-10T00:00:00.000Z
0.18945,,,597192774,2022-07-11T00:00:00.000Z
0.21833,,,568842501,2022-07-12T00:00:00.000Z
0.24061,,,596225159,2022-07-13T00:00:00.000Z
0.24748,,,649656929,2022-07-14T00:00:00.000Z
0.18203,,,689647096,2022-07-15T00:00:00.000Z
0.18016,,,743594098,2022-07-16T00:00:00.000Z
0.16961,,,745200540,2022-07-17T00:00:00.000Z
0.17314,,,829679516,2022-07-18T00:00:00.000Z
0.15518,,,854107683,2022-07-19T00:00:00.000Z
0.15578,,,836985625,2022-07-20T00:00:00.000Z
0.14908,,,863837778,2022-07-21T00:00:00.000Z
0.14822,,,845444061,2022-07-22T00:00:00.000Z
0.15127,,,849533968,2022-07-23T00:00:00.000Z
0.15008,,,890358796,2022-07-24T00:00:00.000Z
0.14822,,,813320154,2022-07-25T00:00:00.000Z
0.1436,,,773850688,2022-07-26T00:00:00.000Z
0.1508,,,891094782,2022-07-27T00:00:00.000Z
0.15081,,,952549305,2022-07-28T00:00:00.000Z
0.15975,,,952198551,2022-07-29T00:00:00.000Z
0.16218,,,928761425,2022-07-30T00:00:00.000Z
0.16505,,,912662146,2022-07-31T00:00:00.000Z
0.1677,,,885465447,2022-08-01T00:00:00.000Z
0.15416,,,893345578,2022-08-02T00:00:00.000Z
0.16209,,,849167895,2022-08-03T00:00:00.000Z
0.15857,,,853156207,2022-08-04T00:00:00.000Z
0.15568,,,918270099,2022-08-05T00:00:00.000Z
0.16204,0.07023,0.09181,919410104,2022-08-06T00:00:00.000Z
0.15994,0.07054,0.0894,917019039,2022-08-07T00:00:00.000Z
0.15531,0.07025,0.08506,949333942,2022-08-08T00:00:00.000Z
0.15673,0.07265,0.08408,914375692,2022-08-09T00:00:00.000Z
0.15345,0.06829,0.08516,993541883,2022-08-10T00:00:00.000Z
0.15095,0.06897,0.08198,1008829438,2022-08-11T00:00:00.000Z
0.1564,0.07054,0.08586,972249820,2022-08-12T00:00:00.000Z
0.15589,0.06982,0.08607,986059464,2022-08-13T00:00:00.000Z
0.15494,0.0706,0.08434,962708161,2022-08-14T00:00:00.000Z
0.15744,0.07182,0.08563,933248208,2022-08-15T00:00:00.000Z
0.16054,0.07335,0.08718,905671779,2022-08-16T00:00:00.000Z
0.15365,0.06783,0.08582,885380048,2022-08-17T00:00:00.000Z
0.15217,0.06849,0.08369,910010731,2022-08-18T00:00:00.000Z
0.14888,0.06669,0.08219,798178687,2022-08-19T00:00:00.000Z
0.14757,0.06576,0.08181,782306652,2022-08-20T00:00:00.000Z
0.14616,0.06456,0.0816,812175158,2022-08-21T00:00:00.000Z
0.14697,0.06458,0.08239,790058617,2022-08-22T00:00:00.000Z
0.14516,0.06507,0.08009,821450347,2022-08-23T00:00:00.000Z
0.14583,0.0655,0.08033,826010834,2022-08-24T00:00:00.000Z
0.17289,0.0939,0.07899,846023413,2022-08-25T00:00:00.000Z
0.1748,0.09634,0.07846,779991599,2022-08-26T00:00:00.000Z
0.18216,0.10243,0.07973,753463397,2022-08-27T00:00:00.000Z
0.18397,0.10568,0.07829,745997481,2022-08-28T00:00:00.000Z
0.18107,0.10223,0.07884,802412974,2022-08-29T00:00:00.000Z
0.1766,0.0993,0.0773,803573303,2022-08-30T00:00:00.000Z
0.17288,0.09888,0.07401,815190164,2022-08-31T00:00:00.000Z
0.17332,0.09869,0.07463,828596229,2022-09-01T00:00:00.000Z
0.17075,0.0984,0.07235,823376365,2022-09-02T00:00:00.000Z
0.1745,0.09816,0.07633,813369980,2022-09-03T00:00:00.000Z
0.17436,0.098,0.07636,818575506,2022-09-04T00:00:00.000Z
0.17221,0.09769,0.07451,837501854,2022-09-05T23:00:13.824Z
0.16492,0.09412,0.0708,825747660,2022-09-06T23:01:27.421Z
0.26252,0.16552,0.097,650025064,2022-09-07T23:01:05.416Z
0.40691,0.3039,0.10301,610306615,2022-09-08T23:01:14.058Z
0.55593,0.44651,0.10942,620142963,2022-09-09T23:01:04.230Z
0.56669,0.45579,0.11091,635063523,2022-09-10T23:01:00.708Z
0.48822,0.37406,0.11416,630278304,2022-09-11T23:01:15.073Z
0.67102,0.55107,0.11995,588004377,2022-09-12T23:01:19.895Z
1.08496,0.94961,0.13535,521456544,2022-09-13T23:01:05.066Z
2.34477,2.18986,0.15492,511938729,2022-09-14T23:01:16.858Z
0.5442,0.3897,0.1545,470388307,2022-09-15T23:01:19.349Z
0.37826,0.21976,0.15851,442858265,2022-09-16T23:01:17.176Z
0.45023,0.28211,0.16811,455341410,2022-09-17T23:01:12.452Z
0.42058,0.26515,0.15543,446767666,2022-09-18T23:01:07.994Z
0.40685,0.26101,0.14584,502826586,2022-09-19T23:01:12.508Z
0.38706,0.23055,0.1565,490168085,2022-09-20T23:01:16.175Z
0.39152,0.21933,0.17219,463994013,2022-09-21T23:01:12.283Z
0.36612,0.19666,0.16945,508342938,2022-09-22T23:01:04.825Z
0.36605,0.19424,0.17181,525468539,2022-09-23T23:01:22.233Z
0.35689,0.19101,0.16588,521357104,2022-09-24T23:00:59.868Z
0.35264,0.18365,0.16899,525386973,2022-09-25T23:01:09.082Z
0.34595,0.18175,0.16421,537972295,2022-09-26T23:01:17.173Z
0.35852,0.19575,0.16277,536599128,2022-09-27T23:01:24.790Z
0.35564,0.19626,0.15938,549552093,2022-09-28T23:01:01.478Z
0.34174,0.18325,0.15849,555724498,2022-09-29T23:01:07.324Z
0.33406,0.17782,0.15625,553298449,2022-09-30T23:01:38.061Z
0.33608,0.17905,0.15703,546550637,2022-10-01T23:01:32.378Z
0.33829,0.18162,0.15667,540431259,2022-10-02T23:01:22.339Z
0.34083,0.18396,0.15687,538815362,2022-10-03T23:01:21.323Z
0.33415,0.18228,0.15187,559213453,2022-10-04T23:01:25.949Z
0.33047,0.18096,0.14951,556618261,2022-10-05T23:01:22.620Z
0.33716,0.1877,0.14946,554859293,2022-10-06T23:01:10.167Z
0.33851,0.18735,0.15116,547944883,2022-10-07T23:01:18.768Z
0.34036,0.18721,0.15315,539505004,2022-10-08T23:01:20.119Z
0.34235,0.18709,0.15526,542273854,2022-10-09T23:01:16.488Z
0.33308,0.18141,0.15168,537124148,2022-10-10T23:01:13.136Z
0.32794,0.1801,0.14784,531594202,2022-10-11T23:01:10.858Z
0.32615,0.17911,0.14704,542780006,2022-10-12T23:01:19.684Z
0.31729,0.17304,0.14424,537600744,2022-10-13T23:01:47.207Z
0.31696,0.17578,0.14118,542401620,2022-10-14T23:01:26.015Z
0.31716,0.17294,0.14422,532475610,2022-10-15T23:01:21.457Z
0.31524,0.17275,0.14248,546491764,2022-10-16T23:01:15.733Z
0.31422,0.17333,0.14089,552945265,2022-10-17T23:01:08.898Z
0.31088,0.17412,0.13676,546304326,2022-10-18T23:01:25.140Z
0.30747,0.17415,0.13333,534904632,2022-10-19T23:01:17.332Z
0.30337,0.1736,0.12977,532907381,2022-10-20T23:01:21.890Z
0.30506,0.17428,0.13078,539150318,2022-10-21T23:01:18.792Z
0.3017,0.1713,0.1304,546341594,2022-10-22T23:01:25.778Z
0.29743,0.17014,0.12729,568956786,2022-10-23T23:01:17.825Z
0.29694,0.17106,0.12588,560836003,2022-10-24T23:01:22.003Z
0.21025,0.09172,0.11852,603068035,2022-10-25T23:01:08.856Z
0.19872,0.07921,0.11951,626905045,2022-10-26T23:01:13.876Z
0.20375,0.08555,0.1182,603597324,2022-10-27T23:01:10.407Z
0.20384,0.08542,0.11842,619421570,2022-10-28T23:01:28.503Z
0.19914,0.0856,0.11354,634783458,2022-10-29T23:01:24.266Z
0.18745,0.06868,0.11877,596825670,2022-10-30T23:01:22.679Z
0.19088,0.07042,0.12046,586536792,2022-10-31T23:01:23.895Z
0.18412,0.06909,0.11503,594549727,2022-11-01T23:01:13.857Z
0.1849,0.06765,0.11725,559855708,2022-11-02T23:01:21.457Z
0.1872,0.06806,0.11914,567386054,2022-11-03T23:01:47.403Z
0.18816,0.0679,0.12026,610025411,2022-11-04T23:01:28.835Z
0.19865,0.07137,0.12728,578169238,2022-11-05T23:01:17.099Z
0.19563,0.07162,0.12401,566740443,2022-11-06T23:01:10.684Z
0.19933,0.07269,0.12664,550310457,2022-11-07T23:01:28.447Z
0.1812,0.05631,0.12489,471021312,2022-11-08T23:01:04.425Z
0.16622,0.05299,0.11323,421906962,2022-11-09T23:01:21.253Z
0.17418,0.05594,0.11825,489235521,2022-11-10T23:01:25.609Z
0.17613,0.0594,0.11673,468777690,2022-11-11T23:04:50.656Z
0.20808,0.08555,0.12253,435962973,2022-11-12T23:01:10.635Z
0.19845,0.06845,0.12999,416422921,2022-11-13T23:01:17.480Z
0.20621,0.07729,0.12892,406162351,2022-11-14T23:01:30.178Z
0.21501,0.07536,0.13965,400635763,2022-11-15T23:01:20.388Z
0.2279,0.08738,0.14052,383774848,2022-11-16T23:01:16.903Z
0.21852,0.07892,0.1396,384147252,2022-11-17T23:01:11.179Z
0.21629,0.08733,0.12896,408697283,2022-11-18T23:01:06.325Z
0.21184,0.08161,0.13024,415233140,2022-11-19T23:01:18.512Z
0.21029,0.07659,0.13371,388358006,2022-11-20T23:01:39.935Z
0.22152,0.08883,0.13269,379594852,2022-11-21T23:01:01.058Z
0.2055,0.08166,0.12384,415005720,2022-11-22T23:01:09.974Z
0.21467,0.08699,0.12768,410293023,2022-11-23T23:01:20.654Z
0.22512,0.09998,0.12514,408218098,2022-11-24T23:01:45.163Z
0.21987,0.09239,0.12747,407325705,2022-11-25T23:01:25.018Z
0.21641,0.09172,0.12469,410084070,2022-11-26T23:01:29.918Z
0.19554,0.07014,0.1254,417026458,2022-11-27T23:01:14.595Z
0.19543,0.07038,0.12505,405138707,2022-11-28T23:01:23.319Z
0.19334,0.07226,0.12108,420628559,2022-11-29T23:01:18.578Z
0.19102,0.07248,0.11855,439377657,2022-11-30T23:01:33.863Z
0.19046,0.07126,0.1192,430847440,2022-12-01T23:01:36.382Z
0.19163,0.07151,0.12012,434779622,2022-12-02T23:01:11.858Z
0.19699,0.07592,0.12108,417480928,2022-12-03T23:01:19.537Z
0.19533,0.07588,0.11945,429465576,2022-12-04T23:01:27.268Z
0.18868,0.0654,0.12328,431074893,2022-12-05T23:01:19.069Z
0.19068,0.06874,0.12193,428884370,2022-12-06T23:01:12.894Z
0.19019,0.06793,0.12226,419470374,2022-12-07T23:01:47.304Z
0.19105,0.07028,0.12078,436251443,2022-12-08T23:01:15.927Z
0.19387,0.06993,0.12394,431224915,2022-12-09T23:01:24.330Z
0.20436,0.08003,0.12434,431125634,2022-12-10T23:01:14.515Z
0.21205,0.08505,0.127,404849096,2022-12-11T23:01:20.156Z
0.21368,0.08405,0.12964,411659459,2022-12-12T23:01:18.938Z
0.21626,0.08926,0.127,416765666,2022-12-13T23:01:12.403Z
0.23603,0.10196,0.13407,397333115,2022-12-14T23:01:22.938Z
0.23545,0.09781,0.13764,389518834,2022-12-15T23:01:29.965Z
0.22385,0.09676,0.12709,366167213,2022-12-16T23:01:19.690Z
0.22018,0.0965,0.12368,371591954,2022-12-17T23:01:33.719Z
0.21995,0.09778,0.12217,374682504,2022-12-18T23:01:28.362Z
0.26696,0.15235,0.11461,364502987,2022-12-19T23:01:17.334Z
0.27024,0.15339,0.11685,382439905,2022-12-20T23:01:42.939Z
0.27325,0.15798,0.11527,380377610,2022-12-21T23:01:17.890Z
0.28398,0.16804,0.11594,382737455,2022-12-22T23:01:27.067Z
0.29014,0.176,0.11414,382913871,2022-12-23T23:01:18.764Z
0.26494,0.15147,0.11347,384196244,2022-12-24T23:01:35.284Z
0.274,0.1613,0.11269,373402182,2022-12-25T23:01:26.944Z
0.27095,0.15858,0.11237,378778199,2022-12-26T23:01:31.787Z
0.26669,0.15101,0.11568,375521469,2022-12-27T23:01:20.526Z
0.26347,0.14721,0.11626,365599045,2022-12-28T23:01:17.771Z
0.25082,0.13795,0.11287,366588129,2022-12-29T23:01:38.387Z
0.24264,0.13284,0.1098,372160411,2022-12-30T23:01:36.750Z
0.246,0.13315,0.11285,369795137,2022-12-31T23:01:08.514Z
0.21918,0.10419,0.11499,370203231,2023-01-01T23:01:22.808Z
0.19252,0.07803,0.11449,379467293,2023-01-02T23:01:11.303Z
0.18952,0.07779,0.11174,378744236,2023-01-03T23:01:08.079Z
0.19635,0.08015,0.1162,388606198,2023-01-04T23:01:24.686Z
0.19667,0.08051,0.11617,387507539,2023-01-05T23:01:16.728Z
0.19907,0.08211,0.11696,390829016,2023-01-06T23:01:41.635Z
0.23857,0.11922,0.11934,383273536,2023-01-07T23:01:37.952Z
0.24,0.11905,0.12095,386428171,2023-01-08T23:01:22.682Z
0.25867,0.13147,0.1272,373100550,2023-01-09T23:01:25.091Z
0.27059,0.13815,0.13244,362267917,2023-01-10T23:01:19.965Z
0.26692,0.1378,0.12911,367286903,2023-01-11T23:01:26.737Z
0.26763,0.13786,0.12978,385392509,2023-01-12T23:01:23.038Z
0.22645,0.0935,0.13294,400414481,2023-01-13T23:01:32.205Z
0.24543,0.07962,0.16581,428681681,2023-01-14T23:01:09.801Z
0.23697,0.07104,0.16593,433262337,2023-01-15T23:01:16.758Z
0.2308,0.06975,0.16105,439566406,2023-01-16T23:01:10.088Z
0.23158,0.07056,0.16102,437651184,2023-01-17T23:03:05.275Z
0.2326,0.07205,0.16055,424475281,2023-01-18T23:01:27.873Z
0.22636,0.07317,0.15318,431947344,2023-01-19T23:01:26.866Z
0.2261,0.07483,0.15127,461043970,2023-01-20T23:01:27.721Z
0.22845,0.07371,0.15474,461049003,2023-01-21T23:01:25.347Z
0.22543,0.07241,0.15302,459584300,2023-01-22T23:01:34.876Z
0.2295,0.07441,0.15508,458152621,2023-01-23T23:01:32.554Z
0.09168,0.09168,0,441247563,2023-01-24T23:01:37.236Z
0.11554,0.11554,0,441013796,2023-01-25T23:01:34.688Z
0.10539,0.10539,0,450558088,2023-01-26T23:01:31.934Z
0.10379,0.10379,0,447864520,2023-01-27T23:01:17.292Z
0.09741,0.09741,0,438604199,2023-01-28T23:01:30.959Z
0.09636,0.09636,0,459120431,2023-01-29T23:01:29.403Z
0.07219,0.07219,0,439521358,2023-01-30T23:01:28.805Z
0.07515,0.07515,0,442762545,2023-01-31T23:01:28.126Z
0.06311,0.06311,0,461960319,2023-02-01T23:01:42.850Z
0.06267,0.06267,0,465995171,2023-02-02T23:01:21.834Z
0.05952,0.05952,0,470721582,2023-02-03T23:01:17.798Z
0.06103,0.06103,0,470677192,2023-02-04T23:01:13.370Z
0.05452,0.05452,0,457546004,2023-02-05T23:01:32.836Z
0.05424,0.05424,0,449533350,2023-02-06T23:01:35.033Z
0.05858,0.05858,0,456862871,2023-02-07T23:01:24.416Z
0.05805,0.05805,0,459168658,2023-02-08T23:01:38.177Z
0.05955,0.05955,0,427222676,2023-02-09T23:01:07.166Z
0.05684,0.05684,0,420070927,2023-02-10T23:01:07.094Z
0.05684,0.05684,0,428889146,2023-02-11T23:01:18.247Z
0.0605,0.0605,0,421560194,2023-02-12T23:01:28.204Z
0.05887,0.05887,0,415541645,2023-02-13T23:01:26.562Z
0.06065,0.06065,0,431607972,2023-02-14T23:01:32.286Z
0.06182,0.06182,0,463496102,2023-02-15T23:01:21.351Z
0.06171,0.06171,0,459778371,2023-02-16T23:01:22.253Z
0.06233,0.06233,0,471103442,2023-02-17T23:01:16.040Z
0.06436,0.06436,0,468097652,2023-02-18T23:01:11.909Z
0.06523,0.06523,0,466548630,2023-02-19T23:01:26.809Z
0.05553,0.05553,0,470137401,2023-02-20T23:01:23.026Z
0.05512,0.05512,0,464890934,2023-02-21T23:01:11.981Z
0.05475,0.05475,0,459760972,2023-02-22T23:01:20.842Z
0.0551,0.0551,0,462314571,2023-02-23T23:01:06.068Z
0.05618,0.05618,0,450620930,2023-02-24T23:01:09.336Z
0.05669,0.05669,0,446123781,2023-02-25T23:01:14.479Z
0.05575,0.05575,0,458611877,2023-02-26T23:01:21.000Z
0.0569,0.0569,0,460411693,2023-02-27T23:01:11.931Z
0.05917,0.05917,0,453227939,2023-02-28T23:01:34.937Z
0.06007,0.06007,0,464804121,2023-03-01T23:01:30.797Z
0.06572,0.06572,0,448951024,2023-03-02T23:01:40.638Z
0.0653,0.0653,0,425826607,2023-03-03T23:01:30.842Z
0.06537,0.06537,0,425292447,2023-03-04T23:01:29.980Z
0.06466,0.06466,0,425412180,2023-03-05T23:01:27.965Z
0.06423,0.06423,0,426745455,2023-03-06T23:01:22.645Z
0.06519,0.06519,0,421586358,2023-03-07T23:01:27.954Z
0.06548,0.06548,0,423676479,2023-03-08T23:01:32.806Z
0.06586,0.06586,0,384830707,2023-03-09T23:01:21.688Z
0.07721,0.07721,0,378120033,2023-03-10T23:01:12.802Z
0.05726,0.05726,0,432853154,2023-03-11T23:01:19.931Z
0.06096,0.06096,0,462449915,2023-03-12T23:01:29.903Z
0.05224,0.05224,0,495368654,2023-03-13T23:01:47.709Z
0.05256,0.05256,0,499373440,2023-03-14T23:01:28.830Z
0.11552,0.11552,0,474371940,2023-03-15T23:01:19.357Z
0.07614,0.07614,0,486938633,2023-03-16T23:01:38.368Z
0.05712,0.05712,0,526792909,2023-03-17T23:01:24.046Z
0.06841,0.06841,0,522918037,2023-03-18T23:01:27.107Z
0.06826,0.06826,0,532663461,2023-03-19T23:01:18.511Z
0.06843,0.06843,0,515501929,2023-03-20T23:01:37.734Z
0.06855,0.06855,0,525376691,2023-03-21T23:01:25.587Z
0.16895,0.16895,0,497956450,2023-03-22T23:01:23.769Z
0.08154,0.08154,0,535297450,2023-03-23T23:01:38.012Z
0.0784,0.0784,0,515786590,2023-03-24T23:01:23.890Z
0.07685,0.07685,0,508330016,2023-03-25T23:01:27.574Z
0.07718,0.07718,0,515545103,2023-03-26T23:01:49.398Z
0.07507,0.07507,0,507552839,2023-03-27T23:01:13.415Z
0.06286,0.06286,0,525803781,2023-03-28T23:02:06.759Z
0.12232,0.12232,0,487008172,2023-03-29T23:01:35.346Z
0.06797,0.06797,0,496318232,2023-03-30T23:01:25.002Z
0.06585,0.06585,0,523800481,2023-03-31T23:01:31.264Z
0.06603,0.06603,0,522673926,2023-04-01T23:01:26.891Z
0.06664,0.06664,0,512772303,2023-04-02T23:01:25.158Z
0.06787,0.06787,0,515325832,2023-04-03T23:01:17.292Z
0.06802,0.06802,0,532411687,2023-04-04T23:01:16.924Z
0.06913,0.06913,0,540118738,2023-04-05T23:01:19.815Z
0.06856,0.06856,0,530625479,2023-04-06T23:01:44.366Z
0.06854,0.06854,0,530348602,2023-04-07T23:01:34.701Z
0.06855,0.06855,0,525382210,2023-04-08T23:01:41.855Z
0.06773,0.06773,0,531923094,2023-04-09T23:01:46.227Z
0.08014,0.08014,0,539523257,2023-04-10T23:01:39.024Z
0.07994,0.07994,0,534180574,2023-04-11T23:01:24.166Z
0.08641,0.08641,0,536819580,2023-04-12T23:01:33.505Z
0.08388,0.08388,0,562028935,2023-04-13T23:01:30.156Z
0.08085,0.08085,0,591131605,2023-04-14T23:01:27.629Z
0.08237,0.08237,0,585052391,2023-04-15T23:01:32.292Z
0.08218,0.08218,0,593538973,2023-04-16T23:01:37.786Z
0.08396,0.08396,0,574208832,2023-04-17T23:01:27.476Z
0.08971,0.08971,0,544687088,2023-04-18T23:01:39.979Z
